code,description,last_updated
A00,Cholera,2025-09-07
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",2025-09-07
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",2025-09-07
A009,"Cholera, unspecified",2025-09-07
A01,Typhoid and paratyphoid fevers,2025-09-07
A010,Typhoid fever,2025-09-07
A0100,"Typhoid fever, unspecified",2025-09-07
A0101,Typhoid meningitis,2025-09-07
A0102,Typhoid fever with heart involvement,2025-09-07
A0103,Typhoid pneumonia,2025-09-07
A0104,Typhoid arthritis,2025-09-07
A0105,Typhoid osteomyelitis,2025-09-07
A0109,Typhoid fever with other complications,2025-09-07
A011,Paratyphoid fever A,2025-09-07
A012,Paratyphoid fever B,2025-09-07
A013,Paratyphoid fever C,2025-09-07
A014,"Paratyphoid fever, unspecified",2025-09-07
A02,Other salmonella infections,2025-09-07
A020,Salmonella enteritis,2025-09-07
A021,Salmonella sepsis,2025-09-07
A022,Localized salmonella infections,2025-09-07
A0220,"Localized salmonella infection, unspecified",2025-09-07
A0221,Salmonella meningitis,2025-09-07
A0222,Salmonella pneumonia,2025-09-07
A0223,Salmonella arthritis,2025-09-07
A0224,Salmonella osteomyelitis,2025-09-07
A0225,Salmonella pyelonephritis,2025-09-07
A0229,Salmonella with other localized infection,2025-09-07
A028,Other specified salmonella infections,2025-09-07
A029,"Salmonella infection, unspecified",2025-09-07
A03,Shigellosis,2025-09-07
A030,Shigellosis due to Shigella dysenteriae,2025-09-07
A031,Shigellosis due to Shigella flexneri,2025-09-07
A032,Shigellosis due to Shigella boydii,2025-09-07
A033,Shigellosis due to Shigella sonnei,2025-09-07
A038,Other shigellosis,2025-09-07
A039,"Shigellosis, unspecified",2025-09-07
A04,Other bacterial intestinal infections,2025-09-07
A040,Enteropathogenic Escherichia coli infection,2025-09-07
A041,Enterotoxigenic Escherichia coli infection,2025-09-07
A042,Enteroinvasive Escherichia coli infection,2025-09-07
A043,Enterohemorrhagic Escherichia coli infection,2025-09-07
A044,Other intestinal Escherichia coli infections,2025-09-07
A045,Campylobacter enteritis,2025-09-07
A046,Enteritis due to Yersinia enterocolitica,2025-09-07
A047,Enterocolitis due to Clostridium difficile,2025-09-07
A0471,"Enterocolitis due to Clostridium difficile, recurrent",2025-09-07
A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur   Enterocolitis due to Clostridium difficile, not specified as recurrent",2025-09-07
A048,Other specified bacterial intestinal infections,2025-09-07
A049,"Bacterial intestinal infection, unspecified",2025-09-07
A05,"Oth bacterial foodborne intoxications, NEC",2025-09-07
A050,Foodborne staphylococcal intoxication,2025-09-07
A051,Botulism food poisoning,2025-09-07
A052,Foodborne Clostridium perfringens intoxication,2025-09-07
A053,Foodborne Vibrio parahaemolyticus intoxication,2025-09-07
A054,Foodborne Bacillus cereus intoxication,2025-09-07
A055,Foodborne Vibrio vulnificus intoxication,2025-09-07
A058,Other specified bacterial foodborne intoxications,2025-09-07
A059,"Bacterial foodborne intoxication, unspecified",2025-09-07
A06,Amebiasis,2025-09-07
A060,Acute amebic dysentery,2025-09-07
A061,Chronic intestinal amebiasis,2025-09-07
A062,Amebic nondysenteric colitis,2025-09-07
A063,Ameboma of intestine,2025-09-07
A064,Amebic liver abscess,2025-09-07
A065,Amebic lung abscess,2025-09-07
A066,Amebic brain abscess,2025-09-07
A067,Cutaneous amebiasis,2025-09-07
A068,Amebic infection of other sites,2025-09-07
A0681,Amebic cystitis,2025-09-07
A0682,Other amebic genitourinary infections,2025-09-07
A0689,Other amebic infections,2025-09-07
A069,"Amebiasis, unspecified",2025-09-07
A07,Other protozoal intestinal diseases,2025-09-07
A070,Balantidiasis,2025-09-07
A071,Giardiasis [lambliasis],2025-09-07
A072,Cryptosporidiosis,2025-09-07
A073,Isosporiasis,2025-09-07
A074,Cyclosporiasis,2025-09-07
A078,Other specified protozoal intestinal diseases,2025-09-07
A079,"Protozoal intestinal disease, unspecified",2025-09-07
A08,Viral and other specified intestinal infections,2025-09-07
A080,Rotaviral enteritis,2025-09-07
A081,Acute gastrent d/t Norwalk agent and oth small round viruses Acute gastroenteropathy due to Norwalk agent and other small round viruses,2025-09-07
A0811,Acute gastroenteropathy due to Norwalk agent,2025-09-07
A0819,Acute gastroenteropathy due to other small round viruses,2025-09-07
A082,Adenoviral enteritis,2025-09-07
A083,Other viral enteritis,2025-09-07
A0831,Calicivirus enteritis,2025-09-07
A0832,Astrovirus enteritis,2025-09-07
A0839,Other viral enteritis,2025-09-07
A084,"Viral intestinal infection, unspecified",2025-09-07
A088,Other specified intestinal infections,2025-09-07
A09,"Infectious gastroenteritis and colitis, unspecified",2025-09-07
A15,Respiratory tuberculosis,2025-09-07
A150,Tuberculosis of lung,2025-09-07
A154,Tuberculosis of intrathoracic lymph nodes,2025-09-07
A155,"Tuberculosis of larynx, trachea and bronchus",2025-09-07
A156,Tuberculous pleurisy,2025-09-07
A157,Primary respiratory tuberculosis,2025-09-07
A158,Other respiratory tuberculosis,2025-09-07
A159,Respiratory tuberculosis unspecified,2025-09-07
A17,Tuberculosis of nervous system,2025-09-07
A170,Tuberculous meningitis,2025-09-07
A171,Meningeal tuberculoma,2025-09-07
A178,Other tuberculosis of nervous system,2025-09-07
A1781,Tuberculoma of brain and spinal cord,2025-09-07
A1782,Tuberculous meningoencephalitis,2025-09-07
A1783,Tuberculous neuritis,2025-09-07
A1789,Other tuberculosis of nervous system,2025-09-07
A179,"Tuberculosis of nervous system, unspecified",2025-09-07
A18,Tuberculosis of other organs,2025-09-07
A180,Tuberculosis of bones and joints,2025-09-07
A1801,Tuberculosis of spine,2025-09-07
A1802,Tuberculous arthritis of other joints,2025-09-07
A1803,Tuberculosis of other bones,2025-09-07
A1809,Other musculoskeletal tuberculosis,2025-09-07
A181,Tuberculosis of genitourinary system,2025-09-07
A1810,"Tuberculosis of genitourinary system, unspecified",2025-09-07
A1811,Tuberculosis of kidney and ureter,2025-09-07
A1812,Tuberculosis of bladder,2025-09-07
A1813,Tuberculosis of other urinary organs,2025-09-07
A1814,Tuberculosis of prostate,2025-09-07
A1815,Tuberculosis of other male genital organs,2025-09-07
A1816,Tuberculosis of cervix,2025-09-07
A1817,Tuberculous female pelvic inflammatory disease,2025-09-07
A1818,Tuberculosis of other female genital organs,2025-09-07
A182,Tuberculous peripheral lymphadenopathy,2025-09-07
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands Tuberculosis of intestines, peritoneum and mesenteric glands",2025-09-07
A1831,Tuberculous peritonitis,2025-09-07
A1832,Tuberculous enteritis,2025-09-07
A1839,Retroperitoneal tuberculosis,2025-09-07
A184,Tuberculosis of skin and subcutaneous tissue,2025-09-07
A185,Tuberculosis of eye,2025-09-07
A1850,"Tuberculosis of eye, unspecified",2025-09-07
A1851,Tuberculous episcleritis,2025-09-07
A1852,Tuberculous keratitis,2025-09-07
A1853,Tuberculous chorioretinitis,2025-09-07
A1854,Tuberculous iridocyclitis,2025-09-07
A1859,Other tuberculosis of eye,2025-09-07
A186,Tuberculosis of (inner) (middle) ear,2025-09-07
A187,Tuberculosis of adrenal glands,2025-09-07
A188,Tuberculosis of other specified organs,2025-09-07
A1881,Tuberculosis of thyroid gland,2025-09-07
A1882,Tuberculosis of other endocrine glands,2025-09-07
A1883,"Tuberculosis of digestive tract organs, NEC",2025-09-07
A1884,Tuberculosis of heart,2025-09-07
A1885,Tuberculosis of spleen,2025-09-07
A1889,Tuberculosis of other sites,2025-09-07
A19,Miliary tuberculosis,2025-09-07
A190,Acute miliary tuberculosis of a single specified site,2025-09-07
A191,Acute miliary tuberculosis of multiple sites,2025-09-07
A192,"Acute miliary tuberculosis, unspecified",2025-09-07
A198,Other miliary tuberculosis,2025-09-07
A199,"Miliary tuberculosis, unspecified",2025-09-07
A20,Plague,2025-09-07
A200,Bubonic plague,2025-09-07
A201,Cellulocutaneous plague,2025-09-07
A202,Pneumonic plague,2025-09-07
A203,Plague meningitis,2025-09-07
A207,Septicemic plague,2025-09-07
A208,Other forms of plague,2025-09-07
A209,"Plague, unspecified",2025-09-07
A21,Tularemia,2025-09-07
A210,Ulceroglandular tularemia,2025-09-07
A211,Oculoglandular tularemia,2025-09-07
A212,Pulmonary tularemia,2025-09-07
A213,Gastrointestinal tularemia,2025-09-07
A217,Generalized tularemia,2025-09-07
A218,Other forms of tularemia,2025-09-07
A219,"Tularemia, unspecified",2025-09-07
A22,Anthrax,2025-09-07
A220,Cutaneous anthrax,2025-09-07
A221,Pulmonary anthrax,2025-09-07
A222,Gastrointestinal anthrax,2025-09-07
A227,Anthrax sepsis,2025-09-07
A228,Other forms of anthrax,2025-09-07
A229,"Anthrax, unspecified",2025-09-07
A23,Brucellosis,2025-09-07
A230,Brucellosis due to Brucella melitensis,2025-09-07
A231,Brucellosis due to Brucella abortus,2025-09-07
A232,Brucellosis due to Brucella suis,2025-09-07
A233,Brucellosis due to Brucella canis,2025-09-07
A238,Other brucellosis,2025-09-07
A239,"Brucellosis, unspecified",2025-09-07
A24,Glanders and melioidosis,2025-09-07
A240,Glanders,2025-09-07
A241,Acute and fulminating melioidosis,2025-09-07
A242,Subacute and chronic melioidosis,2025-09-07
A243,Other melioidosis,2025-09-07
A249,"Melioidosis, unspecified",2025-09-07
A25,Rat-bite fevers,2025-09-07
A250,Spirillosis,2025-09-07
A251,Streptobacillosis,2025-09-07
A259,"Rat-bite fever, unspecified",2025-09-07
A26,Erysipeloid,2025-09-07
A260,Cutaneous erysipeloid,2025-09-07
A267,Erysipelothrix sepsis,2025-09-07
A268,Other forms of erysipeloid,2025-09-07
A269,"Erysipeloid, unspecified",2025-09-07
A27,Leptospirosis,2025-09-07
A270,Leptospirosis icterohemorrhagica,2025-09-07
A278,Other forms of leptospirosis,2025-09-07
A2781,Aseptic meningitis in leptospirosis,2025-09-07
A2789,Other forms of leptospirosis,2025-09-07
A279,"Leptospirosis, unspecified",2025-09-07
A28,"Other zoonotic bacterial diseases, not elsewhere classified  Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
A280,Pasteurellosis,2025-09-07
A281,Cat-scratch disease,2025-09-07
A282,Extraintestinal yersiniosis,2025-09-07
A288,"Oth zoonotic bacterial diseases, not elsewhere classified",2025-09-07
A289,"Zoonotic bacterial disease, unspecified",2025-09-07
A30,Leprosy [Hansen's disease],2025-09-07
A300,Indeterminate leprosy,2025-09-07
A301,Tuberculoid leprosy,2025-09-07
A302,Borderline tuberculoid leprosy,2025-09-07
A303,Borderline leprosy,2025-09-07
A304,Borderline lepromatous leprosy,2025-09-07
A305,Lepromatous leprosy,2025-09-07
A308,Other forms of leprosy,2025-09-07
A309,"Leprosy, unspecified",2025-09-07
A31,Infection due to other mycobacteria,2025-09-07
A310,Pulmonary mycobacterial infection,2025-09-07
A311,Cutaneous mycobacterial infection,2025-09-07
A312,Dissem mycobacterium avium-intracellulare complex (DMAC),2025-09-07
A318,Other mycobacterial infections,2025-09-07
A319,"Mycobacterial infection, unspecified",2025-09-07
A32,Listeriosis,2025-09-07
A320,Cutaneous listeriosis,2025-09-07
A321,Listerial meningitis and meningoencephalitis,2025-09-07
A3211,Listerial meningitis,2025-09-07
A3212,Listerial meningoencephalitis,2025-09-07
A327,Listerial sepsis,2025-09-07
A328,Other forms of listeriosis,2025-09-07
A3281,Oculoglandular listeriosis,2025-09-07
A3282,Listerial endocarditis,2025-09-07
A3289,Other forms of listeriosis,2025-09-07
A329,"Listeriosis, unspecified",2025-09-07
A33,Tetanus neonatorum,2025-09-07
A34,Obstetrical tetanus,2025-09-07
A35,Other tetanus,2025-09-07
A36,Diphtheria,2025-09-07
A360,Pharyngeal diphtheria,2025-09-07
A361,Nasopharyngeal diphtheria,2025-09-07
A362,Laryngeal diphtheria,2025-09-07
A363,Cutaneous diphtheria,2025-09-07
A368,Other diphtheria,2025-09-07
A3681,Diphtheritic cardiomyopathy,2025-09-07
A3682,Diphtheritic radiculomyelitis,2025-09-07
A3683,Diphtheritic polyneuritis,2025-09-07
A3684,Diphtheritic tubulo-interstitial nephropathy,2025-09-07
A3685,Diphtheritic cystitis,2025-09-07
A3686,Diphtheritic conjunctivitis,2025-09-07
A3689,Other diphtheritic complications,2025-09-07
A369,"Diphtheria, unspecified",2025-09-07
A37,Whooping cough,2025-09-07
A370,Whooping cough due to Bordetella pertussis,2025-09-07
A3700,Whooping cough due to Bordetella pertussis without pneumonia Whooping cough due to Bordetella pertussis without pneumonia,2025-09-07
A3701,Whooping cough due to Bordetella pertussis with pneumonia,2025-09-07
A371,Whooping cough due to Bordetella parapertussis,2025-09-07
A3710,Whooping cough due to Bordetella parapertussis w/o pneumonia Whooping cough due to Bordetella parapertussis without pneumonia,2025-09-07
A3711,Whooping cough due to Bordetella parapertussis w pneumonia   Whooping cough due to Bordetella parapertussis with pneumonia,2025-09-07
A378,Whooping cough due to other Bordetella species,2025-09-07
A3780,Whooping cough due to other Bordetella species w/o pneumonia Whooping cough due to other Bordetella species without pneumonia,2025-09-07
A3781,Whooping cough due to oth Bordetella species with pneumonia  Whooping cough due to other Bordetella species with pneumonia,2025-09-07
A379,"Whooping cough, unspecified species",2025-09-07
A3790,"Whooping cough, unspecified species without pneumonia",2025-09-07
A3791,"Whooping cough, unspecified species with pneumonia",2025-09-07
A38,Scarlet fever,2025-09-07
A380,Scarlet fever with otitis media,2025-09-07
A381,Scarlet fever with myocarditis,2025-09-07
A388,Scarlet fever with other complications,2025-09-07
A389,"Scarlet fever, uncomplicated",2025-09-07
A39,Meningococcal infection,2025-09-07
A390,Meningococcal meningitis,2025-09-07
A391,Waterhouse-Friderichsen syndrome,2025-09-07
A392,Acute meningococcemia,2025-09-07
A393,Chronic meningococcemia,2025-09-07
A394,"Meningococcemia, unspecified",2025-09-07
A395,Meningococcal heart disease,2025-09-07
A3950,"Meningococcal carditis, unspecified",2025-09-07
A3951,Meningococcal endocarditis,2025-09-07
A3952,Meningococcal myocarditis,2025-09-07
A3953,Meningococcal pericarditis,2025-09-07
A398,Other meningococcal infections,2025-09-07
A3981,Meningococcal encephalitis,2025-09-07
A3982,Meningococcal retrobulbar neuritis,2025-09-07
A3983,Meningococcal arthritis,2025-09-07
A3984,Postmeningococcal arthritis,2025-09-07
A3989,Other meningococcal infections,2025-09-07
A399,"Meningococcal infection, unspecified",2025-09-07
A40,Streptococcal sepsis,2025-09-07
