code,description,last_updated
101013,Neoplasm of anterior aspect of epiglottis,2025-09-08
101013,Neoplasm of anterior aspect of epiglottis,2025-09-08
102018,Neoplasm of junctional region of epiglottis,2025-09-08
102018,Neoplasm of junctional region of epiglottis,2025-09-08
103011,Neoplasm of lateral wall of oropharynx,2025-09-08
103011,Neoplasm of lateral wall of oropharynx,2025-09-08
104017,Neoplasm of posterior wall of oropharynx,2025-09-08
104017,Neoplasm of posterior wall of oropharynx,2025-09-08
105016,Neoplasm of esophagus,2025-09-08
105016,Neoplasm of esophagus,2025-09-08
106015,Neoplasm of cervical esophagus,2025-09-08
106015,Neoplasm of cervical esophagus,2025-09-08
107012,Neoplasm of thoracic esophagus,2025-09-08
107012,Neoplasm of thoracic esophagus,2025-09-08
108019,Neoplasm of abdominal esophagus,2025-09-08
108019,Neoplasm of abdominal esophagus,2025-09-08
110017,Neoplasm of middle third of esophagus,2025-09-08
110017,Neoplasm of middle third of esophagus,2025-09-08
111018,Neoplasm of lower third of esophagus,2025-09-08
111018,Neoplasm of lower third of esophagus,2025-09-08
112013,Neoplasm of stomach,2025-09-08
112013,Neoplasm of stomach,2025-09-08
113015,Neoplasm of cardia of stomach,2025-09-08
113015,Neoplasm of cardia of stomach,2025-09-08
114014,Neoplasm of fundus of stomach,2025-09-08
114014,Neoplasm of fundus of stomach,2025-09-08
115010,Neoplasm of body of stomach,2025-09-08
115010,Neoplasm of body of stomach,2025-09-08
116011,Neoplasm of lesser curvature of stomach,2025-09-08
116011,Neoplasm of lesser curvature of stomach,2025-09-08
117019,Neoplasm of greater curvature of stomach,2025-09-08
117019,Neoplasm of greater curvature of stomach,2025-09-08
118012,Neoplasm of pyloric antrum,2025-09-08
118012,Neoplasm of pyloric antrum,2025-09-08
119016,Neoplasm of pylorus,2025-09-08
119016,Neoplasm of pylorus,2025-09-08
120010,Neoplasm of small intestine,2025-09-08
120010,Neoplasm of small intestine,2025-09-08
121014,Neoplasm of duodenum,2025-09-08
121014,Neoplasm of duodenum,2025-09-08
122019,Neoplasm of jejunum,2025-09-08
122019,Neoplasm of jejunum,2025-09-08
123012,Neoplasm of ileum,2025-09-08
123012,Neoplasm of ileum,2025-09-08
124018,Neoplasm of Meckel's diverticulum,2025-09-08
125017,Neoplasm of large intestine,2025-09-08
125017,Neoplasm of large intestine,2025-09-08
126016,Neoplasm of colon,2025-09-08
126016,Neoplasm of colon,2025-09-08
127013,Neoplasm of cecum,2025-09-08
127013,Neoplasm of cecum,2025-09-08
128015,Neoplasm of ascending colon,2025-09-08
128015,Neoplasm of ascending colon,2025-09-08
129011,Neoplasm of hepatic flexure of colon,2025-09-08
129011,Neoplasm of hepatic flexure of colon,2025-09-08
130018,Neoplasm of transverse colon,2025-09-08
130018,Neoplasm of transverse colon,2025-09-08
131019,Neoplasm of splenic flexure of colon,2025-09-08
131019,Neoplasm of splenic flexure of colon,2025-09-08
132014,Neoplasm of descending colon,2025-09-08
132014,Neoplasm of descending colon,2025-09-08
133016,Neoplasm of sigmoid colon,2025-09-08
133016,Neoplasm of sigmoid colon,2025-09-08
134010,Neoplasm of appendix,2025-09-08
134010,Neoplasm of appendix,2025-09-08
135011,Neoplasm of rectum,2025-09-08
135011,Neoplasm of rectum,2025-09-08
136012,Neoplasm of rectosigmoid junction,2025-09-08
136012,Neoplasm of rectosigmoid junction,2025-09-08
137015,Neoplasm of anus,2025-09-08
137015,Neoplasm of anus,2025-09-08
138013,Neoplasm of anal canal,2025-09-08
138013,Neoplasm of anal canal,2025-09-08
139017,Neoplasm of liver,2025-09-08
139017,Neoplasm of liver,2025-09-08
140015,Neoplasm of intrahepatic bile ducts,2025-09-08
140015,Neoplasm of intrahepatic bile ducts,2025-09-08
141016,Neoplasm of biliary tract,2025-09-08
141016,Neoplasm of biliary tract,2025-09-08
142011,Neoplasm of gallbladder,2025-09-08
142011,Neoplasm of gallbladder,2025-09-08
143018,Neoplasm of extrahepatic bile ducts,2025-09-08
143018,Neoplasm of extrahepatic bile ducts,2025-09-08
144012,Neoplasm of cystic duct,2025-09-08
144012,Neoplasm of cystic duct,2025-09-08
145013,Neoplasm of common bile duct,2025-09-08
145013,Neoplasm of common bile duct,2025-09-08
146014,Neoplasm of ampulla of Vater,2025-09-08
147017,Neoplasm of pancreas,2025-09-08
147017,Neoplasm of pancreas,2025-09-08
148010,Neoplasm of head of pancreas,2025-09-08
148010,Neoplasm of head of pancreas,2025-09-08
149019,Neoplasm of body of pancreas,2025-09-08
149019,Neoplasm of body of pancreas,2025-09-08
150019,Neoplasm of tail of pancreas,2025-09-08
150019,Neoplasm of tail of pancreas,2025-09-08
151015,Neoplasm of pancreatic duct,2025-09-08
151015,Neoplasm of pancreatic duct,2025-09-08
152010,Neoplasm of islets of Langerhans,2025-09-08
153017,Neoplasm of the peritoneum,2025-09-08
153017,Neoplasm of the peritoneum,2025-09-08
154011,Neoplasm of parietal peritoneum,2025-09-08
154011,Neoplasm of parietal peritoneum,2025-09-08
155012,Neoplasm of pelvic peritoneum,2025-09-08
155012,Neoplasm of pelvic peritoneum,2025-09-08
156013,Neoplasm of rectouterine pouch,2025-09-08
156013,Neoplasm of rectouterine pouch,2025-09-08
157016,Neoplasm of the mesentery,2025-09-08
157016,Neoplasm of the mesentery,2025-09-08
158014,Neoplasm of the mesocolon,2025-09-08
158014,Neoplasm of the mesocolon,2025-09-08
159018,Neoplasm of the omentum,2025-09-08
159018,Neoplasm of the omentum,2025-09-08
160011,Neoplasm of the retroperitoneum,2025-09-08
160011,Neoplasm of the retroperitoneum,2025-09-08
161010,Neoplasm of periadrenal tissue,2025-09-08
161010,Neoplasm of periadrenal tissue,2025-09-08
162015,Neoplasm of perirenal tissue,2025-09-08
162015,Neoplasm of perirenal tissue,2025-09-08
163013,Neoplasm of retrocecal tissue,2025-09-08
163013,Neoplasm of retrocecal tissue,2025-09-08
164019,Neoplasm of mesothelial tissue of peritoneum,2025-09-08
164019,Neoplasm of mesothelial tissue of peritoneum,2025-09-08
165018,Disorder of glucose metabolism,2025-09-08
165018,Disorder of glucose metabolism,2025-09-08
166017,Persistent preputial frenulum,2025-09-08
166017,Persistent preputial frenulum,2025-09-08
167014,Neoplasm of urinary system,2025-09-08
167014,Neoplasm of urinary system,2025-09-08
168016,Neoplasm of kidney,2025-09-08
168016,Neoplasm of kidney,2025-09-08
169012,Neoplasm of renal pelvis,2025-09-08
169012,Neoplasm of renal pelvis,2025-09-08
170013,Neoplasm of ureter,2025-09-08
